Disease	Gene symbol	Inheritance	Inheritance detail	OMIM_ID	T cell count	B cell count	Immunoglobulin levels	Neutrophil count	Other affected cells	Associated features	Major category	Subcategory	ICD9	ICD10	HPO (table)	HPO (subtable)	UniProt	Ensembl	OMIM	GWAS	omni	gnomAD r2 GRCh37	gnomAD r3 GRCh38	pdb	HGNC	ORPHA	HPO	AmiGo	Alpha Fold	Gemma	ClinGen
G6PD deficiency Class I	G6PD	XL	NA	305900	NA	NA	Normal	Normal	Neutrophil dysfunction	Infections	Table 5 Congenital defects of phagocyte number or function	Subtable 3 Defects of Respiratory Burst	288.2	D71	HP:0002715	HP:0002718	uniprot.org/G6PD	ensembl.org/G6PD	omim.org/G6PD	GWAS/G6PD	omni/G6PD	gnomad.org/r2G6PD	gnomad.org/r3G6PD	rcsb.org/G6PD	genenames.org/G6PD	hpo/ORPHA/G6PD	hpo.jax.org/G6PD	amigo.org/G6PD	alphafold/G6PD	gemma/G6PD	clinicalgenome.org/G6PD
Congenital pulmonary alveolar proteinosis due to CSF2RA mutations	CSF2RA	XL	NA	300770	Normal	Normal	Normal	Normal	Alveolar macrophages	Alveolar proteinosis	Table 5 Congenital defects of phagocyte number or function	Subtable 4 Other Non-Lymphoid Defects	NA	NA	NA	NA	uniprot.org/CSF2RA	ensembl.org/CSF2RA	omim.org/CSF2RA	GWAS/CSF2RA	omni/CSF2RA	gnomad.org/r2CSF2RA	gnomad.org/r3CSF2RA	rcsb.org/CSF2RA	genenames.org/CSF2RA	hpo/ORPHA/CSF2RA	hpo.jax.org/CSF2RA	amigo.org/CSF2RA	alphafold/CSF2RA	gemma/CSF2RA	clinicalgenome.org/CSF2RA
Congenital pulmonary alveolar proteinosis due to CSF2RB mutations	CSF2RB	AR	NA	614370	Normal	Normal	Normal	Normal	Alveolar macrophages	Alveolar proteinosis	Table 5 Congenital defects of phagocyte number or function	Subtable 4 Other Non-Lymphoid Defects	NA	NA	NA	NA	uniprot.org/CSF2RB	ensembl.org/CSF2RB	omim.org/CSF2RB	GWAS/CSF2RB	omni/CSF2RB	gnomad.org/r2CSF2RB	gnomad.org/r3CSF2RB	rcsb.org/CSF2RB	genenames.org/CSF2RB	hpo/ORPHA/CSF2RB	hpo.jax.org/CSF2RB	amigo.org/CSF2RB	alphafold/CSF2RB	gemma/CSF2RB	clinicalgenome.org/CSF2RB
GATA2 deficiency MonoMac syndrome	GATA2	AD	NA	137295	NA	Declining	Normal	Normal	Low monocytes, DC, NK	Susceptibility to mycobacteria, HPV, histoplasmosis, alveolar proteinosis, MDS/AML/CMMoL, lymphedema	Table 5 Congenital defects of phagocyte number or function	Subtable 4 Other Non-Lymphoid Defects	289.89	D72.818	HP:0002715	HP:0012312	uniprot.org/GATA2	ensembl.org/GATA2	omim.org/GATA2	GWAS/GATA2	omni/GATA2	gnomad.org/r2GATA2	gnomad.org/r3GATA2	rcsb.org/GATA2	genenames.org/GATA2	hpo/ORPHA/GATA2	hpo.jax.org/GATA2	amigo.org/GATA2	alphafold/GATA2	gemma/GATA2	clinicalgenome.org/GATA2
Macrophage gp91 phox deficiency	CYBB	XL	NA	300481	Normal	Normal	Normal	Normal	Macrophage dysfunction	Isolated susceptibility to mycobacteria	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease MSMD	288.2	D72	HP:0002715	HP:0011274	uniprot.org/CYBB	ensembl.org/CYBB	omim.org/CYBB	GWAS/CYBB	omni/CYBB	gnomad.org/r2CYBB	gnomad.org/r3CYBB	rcsb.org/CYBB	genenames.org/CYBB	hpo/ORPHA/CYBB	hpo.jax.org/CYBB	amigo.org/CYBB	alphafold/CYBB	gemma/CYBB	clinicalgenome.org/CYBB
IFNG deficiency	IFNG	AR	NA	NA	Normal	Normal	Normal	NA	NA	Susceptibility to mycobacteria	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease MSMD	288.2	D72	HP:0002715	HP:0011274	uniprot.org/IFNG	ensembl.org/IFNG	omim.org/IFNG	GWAS/IFNG	omni/IFNG	gnomad.org/r2IFNG	gnomad.org/r3IFNG	rcsb.org/IFNG	genenames.org/IFNG	hpo/ORPHA/IFNG	hpo.jax.org/IFNG	amigo.org/IFNG	alphafold/IFNG	gemma/IFNG	clinicalgenome.org/IFNG
IFN-g receptor 1 deficiency	IFNGR1	AR	NA	107470	Normal	Normal	Normal	Normal	NA	Susceptibility to mycobacteria and Salmonella	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease MSMD	288.2	D72	HP:0002715	HP:0011274	uniprot.org/IFNGR1	ensembl.org/IFNGR1	omim.org/IFNGR1	GWAS/IFNGR1	omni/IFNGR1	gnomad.org/r2IFNGR1	gnomad.org/r3IFNGR1	rcsb.org/IFNGR1	genenames.org/IFNGR1	hpo/ORPHA/IFNGR1	hpo.jax.org/IFNGR1	amigo.org/IFNGR1	alphafold/IFNGR1	gemma/IFNGR1	clinicalgenome.org/IFNGR1
IFN-g receptor 1 deficiency	IFNGR1	AD	NA	107470	Normal	Normal	Normal	Normal	NA	Susceptibility to mycobacteria and Salmonella	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease MSMD	288.2	D72	HP:0002715	HP:0011274	uniprot.org/IFNGR1	ensembl.org/IFNGR1	omim.org/IFNGR1	GWAS/IFNGR1	omni/IFNGR1	gnomad.org/r2IFNGR1	gnomad.org/r3IFNGR1	rcsb.org/IFNGR1	genenames.org/IFNGR1	hpo/ORPHA/IFNGR1	hpo.jax.org/IFNGR1	amigo.org/IFNGR1	alphafold/IFNGR1	gemma/IFNGR1	clinicalgenome.org/IFNGR1
IFN-g receptor 2 deficiency	IFNGR2	AR	NA	147569	Normal	Normal	Normal	Normal	NA	Susceptibility to mycobacteria and Salmonella	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease MSMD	288.2	D72	HP:0002715	HP:0011274	uniprot.org/IFNGR2	ensembl.org/IFNGR2	omim.org/IFNGR2	GWAS/IFNGR2	omni/IFNGR2	gnomad.org/r2IFNGR2	gnomad.org/r3IFNGR2	rcsb.org/IFNGR2	genenames.org/IFNGR2	hpo/ORPHA/IFNGR2	hpo.jax.org/IFNGR2	amigo.org/IFNGR2	alphafold/IFNGR2	gemma/IFNGR2	clinicalgenome.org/IFNGR2
IL-12p40 IL-12 and IL-23 deficiency	IL12B 	AR	NA	161561	Normal	Normal	Normal	Normal	NA	Susceptibility to mycobacteria and Salmonella	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease MSMD	288.2	D72	HP:0002715	HP:0011274	uniprot.org/IL12B 	ensembl.org/IL12B 	omim.org/IL12B 	GWAS/IL12B 	omni/IL12B 	gnomad.org/r2IL12B 	gnomad.org/r3IL12B 	rcsb.org/IL12B 	genenames.org/IL12B 	hpo/ORPHA/IL12B 	hpo.jax.org/IL12B 	amigo.org/IL12B 	alphafold/IL12B 	gemma/IL12B 	clinicalgenome.org/IL12B 
IL-12 and IL-23 receptor b1 chain deficiency	IL12RB1	AR	NA	601604	Normal	Normal	Normal	Normal	NA	Susceptibility to mycobacteria and Salmonella	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease MSMD	288.2	D72	HP:0002715	HP:0011274	uniprot.org/IL12RB1	ensembl.org/IL12RB1	omim.org/IL12RB1	GWAS/IL12RB1	omni/IL12RB1	gnomad.org/r2IL12RB1	gnomad.org/r3IL12RB1	rcsb.org/IL12RB1	genenames.org/IL12RB1	hpo/ORPHA/IL12RB1	hpo.jax.org/IL12RB1	amigo.org/IL12RB1	alphafold/IL12RB1	gemma/IL12RB1	clinicalgenome.org/IL12RB1
IL-12Rb2 deficiency	IL12RB2	AR	NA	NA	Normal	Normal	Normal	Normal	NA	Susceptibility to mycobacteria and Salmonella	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease MSMD	288.2	D72	HP:0002715	HP:0011274	uniprot.org/IL12RB2	ensembl.org/IL12RB2	omim.org/IL12RB2	GWAS/IL12RB2	omni/IL12RB2	gnomad.org/r2IL12RB2	gnomad.org/r3IL12RB2	rcsb.org/IL12RB2	genenames.org/IL12RB2	hpo/ORPHA/IL12RB2	hpo.jax.org/IL12RB2	amigo.org/IL12RB2	alphafold/IL12RB2	gemma/IL12RB2	clinicalgenome.org/IL12RB2
IL-23R deficiency	IL23R	AR	NA	NA	Normal	Normal	Normal	Normal	NA	Susceptibility to mycobacteria and Salmonella	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease MSMD	288.2	D72	HP:0002715	HP:0011274	uniprot.org/IL23R	ensembl.org/IL23R	omim.org/IL23R	GWAS/IL23R	omni/IL23R	gnomad.org/r2IL23R	gnomad.org/r3IL23R	rcsb.org/IL23R	genenames.org/IL23R	hpo/ORPHA/IL23R	hpo.jax.org/IL23R	amigo.org/IL23R	alphafold/IL23R	gemma/IL23R	clinicalgenome.org/IL23R
IRF8 deficiency AD	IRF8	AD	NA	601565	Normal	Normal	Normal	Normal	CD1c+ MDC	Susceptibility to mycobacteria	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease MSMD	288.2	D72	HP:0002715	HP:0011274	uniprot.org/IRF8	ensembl.org/IRF8	omim.org/IRF8	GWAS/IRF8	omni/IRF8	gnomad.org/r2IRF8	gnomad.org/r3IRF8	rcsb.org/IRF8	genenames.org/IRF8	hpo/ORPHA/IRF8	hpo.jax.org/IRF8	amigo.org/IRF8	alphafold/IRF8	gemma/IRF8	clinicalgenome.org/IRF8
IRF8 deficiency AR	IRF8	AR	NA	601565	Normal	Normal	Normal	Normal	CD1c+ MDC	Susceptibility to mycobacteria and multiple other infectious agents	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease MSMD	288.2	D72	HP:0002715	HP:0011274	uniprot.org/IRF8	ensembl.org/IRF8	omim.org/IRF8	GWAS/IRF8	omni/IRF8	gnomad.org/r2IRF8	gnomad.org/r3IRF8	rcsb.org/IRF8	genenames.org/IRF8	hpo/ORPHA/IRF8	hpo.jax.org/IRF8	amigo.org/IRF8	alphafold/IRF8	gemma/IRF8	clinicalgenome.org/IRF8
ISG15 deficiency	ISG15	AR	NA	147571	NA	NA	NA	NA	Ubiquitously expressed	Susceptibility to mycobacteria, brain calcifications	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease MSMD	288.2	D72	HP:0002715	HP:0011274	uniprot.org/ISG15	ensembl.org/ISG15	omim.org/ISG15	GWAS/ISG15	omni/ISG15	gnomad.org/r2ISG15	gnomad.org/r3ISG15	rcsb.org/ISG15	genenames.org/ISG15	hpo/ORPHA/ISG15	hpo.jax.org/ISG15	amigo.org/ISG15	alphafold/ISG15	gemma/ISG15	clinicalgenome.org/ISG15
JAK1 LOF	JAK1	AR	NA	147795	NA	NA	NA	NA	NA	Susceptibility to mycobacteria and viruses, urothelial carcinoma	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease MSMD	288.2	D72	HP:0002715	HP:0011274	uniprot.org/JAK1	ensembl.org/JAK1	omim.org/JAK1	GWAS/JAK1	omni/JAK1	gnomad.org/r2JAK1	gnomad.org/r3JAK1	rcsb.org/JAK1	genenames.org/JAK1	hpo/ORPHA/JAK1	hpo.jax.org/JAK1	amigo.org/JAK1	alphafold/JAK1	gemma/JAK1	clinicalgenome.org/JAK1
RORgt deficiency	RORC	AR	NA	602943	NA	NA	NA	NA	NA	Susceptibility to mycobacteria and candida	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease MSMD	288.2	D72	HP:0002715	HP:0011274	uniprot.org/RORC	ensembl.org/RORC	omim.org/RORC	GWAS/RORC	omni/RORC	gnomad.org/r2RORC	gnomad.org/r3RORC	rcsb.org/RORC	genenames.org/RORC	hpo/ORPHA/RORC	hpo.jax.org/RORC	amigo.org/RORC	alphafold/RORC	gemma/RORC	clinicalgenome.org/RORC
SPPL2a deficiency	SPPL2A	AR	NA	NA	Poor Th1	NA	NA	NA	CDC	Susceptibility to mycobacteria, Salmonella,	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease MSMD	288.2	D72	HP:0002715	HP:0011274	uniprot.org/SPPL2A	ensembl.org/SPPL2A	omim.org/SPPL2A	GWAS/SPPL2A	omni/SPPL2A	gnomad.org/r2SPPL2A	gnomad.org/r3SPPL2A	rcsb.org/SPPL2A	genenames.org/SPPL2A	hpo/ORPHA/SPPL2A	hpo.jax.org/SPPL2A	amigo.org/SPPL2A	alphafold/SPPL2A	gemma/SPPL2A	clinicalgenome.org/SPPL2A
STAT1 deficiency AD LOF	STAT1	AD	NA	600555	Normal	Normal	Normal	Normal	NA	Susceptibility to mycobacteria, Salmonella,	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease MSMD	288.2	D72	HP:0002715	HP:0011274	uniprot.org/STAT1	ensembl.org/STAT1	omim.org/STAT1	GWAS/STAT1	omni/STAT1	gnomad.org/r2STAT1	gnomad.org/r3STAT1	rcsb.org/STAT1	genenames.org/STAT1	hpo/ORPHA/STAT1	hpo.jax.org/STAT1	amigo.org/STAT1	alphafold/STAT1	gemma/STAT1	clinicalgenome.org/STAT1
TBX21 deficiency	TBX21	AR	NA	NA	Low MAIT, CXCR3 Th1 T cells	Normal	Normal	NA	NA	Susceptibility to mycobacteria	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease MSMD	288.2	D72	HP:0002715	HP:0011274	uniprot.org/TBX21	ensembl.org/TBX21	omim.org/TBX21	GWAS/TBX21	omni/TBX21	gnomad.org/r2TBX21	gnomad.org/r3TBX21	rcsb.org/TBX21	genenames.org/TBX21	hpo/ORPHA/TBX21	hpo.jax.org/TBX21	amigo.org/TBX21	alphafold/TBX21	gemma/TBX21	clinicalgenome.org/TBX21
Tyk2 deficiency	TYK2	AR	NA	176941	NA	NA	NA	NA	Normal, but multiple cytokine signaling defect	Susceptibility to intracellular bacteria mycobacteria, Salmonella, viruses, +/- elevated IgE	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease MSMD	288.2	D72	HP:0002715	HP:0011274	uniprot.org/TYK2	ensembl.org/TYK2	omim.org/TYK2	GWAS/TYK2	omni/TYK2	gnomad.org/r2TYK2	gnomad.org/r3TYK2	rcsb.org/TYK2	genenames.org/TYK2	hpo/ORPHA/TYK2	hpo.jax.org/TYK2	amigo.org/TYK2	alphafold/TYK2	gemma/TYK2	clinicalgenome.org/TYK2
P1104A TYK2 homozygosity	TYK2	AR	NA	NA	NA	NA	NA	NA	NA	Susceptibility to mycobacteria	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease MSMD	288.2	D72	HP:0002715	HP:0011274	uniprot.org/TYK2	ensembl.org/TYK2	omim.org/TYK2	GWAS/TYK2	omni/TYK2	gnomad.org/r2TYK2	gnomad.org/r3TYK2	rcsb.org/TYK2	genenames.org/TYK2	hpo/ORPHA/TYK2	hpo.jax.org/TYK2	amigo.org/TYK2	alphafold/TYK2	gemma/TYK2	clinicalgenome.org/TYK2
CIB1 deficiency	CIB1	AR	NA	618267	NA	NA	NA	NA	Keratinocytes	HPV group B1 infections and cancer of the skin (typical EV)	Table 6 Defects in intrinsic and innate immunity	Subtable 2 Epidermodysplasia verruciformis HPV	NA	NA	HP:0002715	HP:0020114	uniprot.org/CIB1	ensembl.org/CIB1	omim.org/CIB1	GWAS/CIB1	omni/CIB1	gnomad.org/r2CIB1	gnomad.org/r3CIB1	rcsb.org/CIB1	genenames.org/CIB1	hpo/ORPHA/CIB1	hpo.jax.org/CIB1	amigo.org/CIB1	alphafold/CIB1	gemma/CIB1	clinicalgenome.org/CIB1
WHIM Warts, Hypogammaglobulinemia, infections, Myelokathexis  syndrome	CXCR4	AD	GOF	162643	Variable	Variable	Variable	Variable	Granulocytes + Lymphocytes	Warts HPV infection, neutropenia, low B cell number, hypogammaglobulinemia	Table 6 Defects in intrinsic and innate immunity	Subtable 2 Epidermodysplasia verruciformis HPV	279.9	D89.9	HP:0002715	HP:0020114	uniprot.org/CXCR4	ensembl.org/CXCR4	omim.org/CXCR4	GWAS/CXCR4	omni/CXCR4	gnomad.org/r2CXCR4	gnomad.org/r3CXCR4	rcsb.org/CXCR4	genenames.org/CXCR4	hpo/ORPHA/CXCR4	hpo.jax.org/CXCR4	amigo.org/CXCR4	alphafold/CXCR4	gemma/CXCR4	clinicalgenome.org/CXCR4
EVER1 deficiency	TMC6	AR	NA	605828	NA	NA	NA	NA	Keratinocytes and leukocytes	Human papillomavirus HPV (group B1) infections and cancer of the skin (typical EV)	Table 6 Defects in intrinsic and innate immunity	Subtable 2 Epidermodysplasia verruciformis HPV	279.9	D89.9	HP:0002715	HP:0020114	uniprot.org/TMC6	ensembl.org/TMC6	omim.org/TMC6	GWAS/TMC6	omni/TMC6	gnomad.org/r2TMC6	gnomad.org/r3TMC6	rcsb.org/TMC6	genenames.org/TMC6	hpo/ORPHA/TMC6	hpo.jax.org/TMC6	amigo.org/TMC6	alphafold/TMC6	gemma/TMC6	clinicalgenome.org/TMC6
EVER2 deficiency	TMC8	AR	NA	605829	NA	NA	NA	NA	Keratinocytes and leukocytes	HPV group B1 infections and cancer of the skin (typical EV)	Table 6 Defects in intrinsic and innate immunity	Subtable 2 Epidermodysplasia verruciformis HPV	279.9	D89.9	HP:0002715	HP:0020114	uniprot.org/TMC8	ensembl.org/TMC8	omim.org/TMC8	GWAS/TMC8	omni/TMC8	gnomad.org/r2TMC8	gnomad.org/r3TMC8	rcsb.org/TMC8	genenames.org/TMC8	hpo/ORPHA/TMC8	hpo.jax.org/TMC8	amigo.org/TMC8	alphafold/TMC8	gemma/TMC8	clinicalgenome.org/TMC8
CD16 deficiency	FCGR3A	AR	NA	146740	Normal	Normal	Normal	Normal	NK cell dysfunction	severe herpes viral infections, particularly VZV, Epstein Barr virus EBV, and (HPV)	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	279.9	D89.9	HP:0002715	HP:0031691	uniprot.org/FCGR3A	ensembl.org/FCGR3A	omim.org/FCGR3A	GWAS/FCGR3A	omni/FCGR3A	gnomad.org/r2FCGR3A	gnomad.org/r3FCGR3A	rcsb.org/FCGR3A	genenames.org/FCGR3A	hpo/ORPHA/FCGR3A	hpo.jax.org/FCGR3A	amigo.org/FCGR3A	alphafold/FCGR3A	gemma/FCGR3A	clinicalgenome.org/FCGR3A
MDA5 deficiency LOF	IFIH1	AR	NA	606951	Normal	Normal	Normal	Normal	Somatic and hematopoietic	Rhinovirus and other RNA viruses	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	279.9	D89.9	HP:0002715	HP:0031691	uniprot.org/IFIH1	ensembl.org/IFIH1	omim.org/IFIH1	GWAS/IFIH1	omni/IFIH1	gnomad.org/r2IFIH1	gnomad.org/r3IFIH1	rcsb.org/IFIH1	genenames.org/IFIH1	hpo/ORPHA/IFIH1	hpo.jax.org/IFIH1	amigo.org/IFIH1	alphafold/IFIH1	gemma/IFIH1	clinicalgenome.org/IFIH1
IFNAR1 deficiency	IFNAR1	AR	NA	NA	Normal	Normal	Normal	Normal	NA	Severe disease caused by Yellow Fever vaccine and Measles vaccine, severe COVID-19	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	NA	NA	HP:0002715	HP:0031691	uniprot.org/IFNAR1	ensembl.org/IFNAR1	omim.org/IFNAR1	GWAS/IFNAR1	omni/IFNAR1	gnomad.org/r2IFNAR1	gnomad.org/r3IFNAR1	rcsb.org/IFNAR1	genenames.org/IFNAR1	hpo/ORPHA/IFNAR1	hpo.jax.org/IFNAR1	amigo.org/IFNAR1	alphafold/IFNAR1	gemma/IFNAR1	clinicalgenome.org/IFNAR1
IFNAR2 deficiency	IFNAR2	AR	NA	602376	Normal	Normal	Normal	Normal	Broadly expressed	Severe viral infections disseminated vaccine-strain measles, HHV6, severe COVID-19	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	279.9	D89.9	HP:0002715	HP:0031691	uniprot.org/IFNAR2	ensembl.org/IFNAR2	omim.org/IFNAR2	GWAS/IFNAR2	omni/IFNAR2	gnomad.org/r2IFNAR2	gnomad.org/r3IFNAR2	rcsb.org/IFNAR2	genenames.org/IFNAR2	hpo/ORPHA/IFNAR2	hpo.jax.org/IFNAR2	amigo.org/IFNAR2	alphafold/IFNAR2	gemma/IFNAR2	clinicalgenome.org/IFNAR2
IRF7 deficiency	IRF7	AR	NA	605047	NA	NA	NA	NA	Leukocytes, plasmacytoid dendritic cells, Non-hematopoietic cells	Severe influenza and COVID-19	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	279.9	D89.9	HP:0002715	HP:0031691	uniprot.org/IRF7	ensembl.org/IRF7	omim.org/IRF7	GWAS/IRF7	omni/IRF7	gnomad.org/r2IRF7	gnomad.org/r3IRF7	rcsb.org/IRF7	genenames.org/IRF7	hpo/ORPHA/IRF7	hpo.jax.org/IRF7	amigo.org/IRF7	alphafold/IRF7	gemma/IRF7	clinicalgenome.org/IRF7
IRF9 deficiency	IRF9	AR	NA	NA	NA	NA	NA	NA	NA	Severe influenza disease	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	NA	NA	HP:0002715	HP:0031691	uniprot.org/IRF9	ensembl.org/IRF9	omim.org/IRF9	GWAS/IRF9	omni/IRF9	gnomad.org/r2IRF9	gnomad.org/r3IRF9	rcsb.org/IRF9	genenames.org/IRF9	hpo/ORPHA/IRF9	hpo.jax.org/IRF9	amigo.org/IRF9	alphafold/IRF9	gemma/IRF9	clinicalgenome.org/IRF9
NOS2 deficiency	NOS2	AR	NA	NA	Low CD4 T cells	Low	NA	Normal	NA	NA	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	279.9	D89.9	HP:0002715	HP:0031691	uniprot.org/NOS2	ensembl.org/NOS2	omim.org/NOS2	GWAS/NOS2	omni/NOS2	gnomad.org/r2NOS2	gnomad.org/r3NOS2	rcsb.org/NOS2	genenames.org/NOS2	hpo/ORPHA/NOS2	hpo.jax.org/NOS2	amigo.org/NOS2	alphafold/NOS2	gemma/NOS2	clinicalgenome.org/NOS2
RNA polymerase III deficiency due to POLR3A defects	POLR3A	AD	NA	NA	Normal	Normal	Normal	Normal	NA	Severe VZV	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	279.9	D89.9	HP:0002715	HP:0031691	uniprot.org/POLR3A	ensembl.org/POLR3A	omim.org/POLR3A	GWAS/POLR3A	omni/POLR3A	gnomad.org/r2POLR3A	gnomad.org/r3POLR3A	rcsb.org/POLR3A	genenames.org/POLR3A	hpo/ORPHA/POLR3A	hpo.jax.org/POLR3A	amigo.org/POLR3A	alphafold/POLR3A	gemma/POLR3A	clinicalgenome.org/POLR3A
RNA polymerase III deficiency due to POLR3C defects	POLR3C	AD	NA	NA	Normal	Normal	Normal	Normal	NA	Severe VZV	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	279.9	D89.9	HP:0002715	HP:0031691	uniprot.org/POLR3C	ensembl.org/POLR3C	omim.org/POLR3C	GWAS/POLR3C	omni/POLR3C	gnomad.org/r2POLR3C	gnomad.org/r3POLR3C	rcsb.org/POLR3C	genenames.org/POLR3C	hpo/ORPHA/POLR3C	hpo.jax.org/POLR3C	amigo.org/POLR3C	alphafold/POLR3C	gemma/POLR3C	clinicalgenome.org/POLR3C
RNA polymerase III deficiency due to POLR3F defects	POLR3F	AD	NA	NA	Normal	Normal	Normal	Normal	NA	Severe VZV	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	279.9	D89.9	HP:0002715	HP:0031691	uniprot.org/POLR3F	ensembl.org/POLR3F	omim.org/POLR3F	GWAS/POLR3F	omni/POLR3F	gnomad.org/r2POLR3F	gnomad.org/r3POLR3F	rcsb.org/POLR3F	genenames.org/POLR3F	hpo/ORPHA/POLR3F	hpo.jax.org/POLR3F	amigo.org/POLR3F	alphafold/POLR3F	gemma/POLR3F	clinicalgenome.org/POLR3F
STAT1 deficiency AR LOF	STAT1	AR	NA	600555	NA	NA	NA	NA	T and NK cells and monocytes	Severe viral infections, mycobacterial infection	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	279.9	D89.9	HP:0002715	HP:0031691	uniprot.org/STAT1	ensembl.org/STAT1	omim.org/STAT1	GWAS/STAT1	omni/STAT1	gnomad.org/r2STAT1	gnomad.org/r3STAT1	rcsb.org/STAT1	genenames.org/STAT1	hpo/ORPHA/STAT1	hpo.jax.org/STAT1	amigo.org/STAT1	alphafold/STAT1	gemma/STAT1	clinicalgenome.org/STAT1
STAT2 deficiency	STAT2	AR	NA	600556	NA	NA	NA	NA	T and NK cells	Severe viral infections disseminated vaccine-strain measles	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	279.9	D89.9	HP:0002715	HP:0031691	uniprot.org/STAT2	ensembl.org/STAT2	omim.org/STAT2	GWAS/STAT2	omni/STAT2	gnomad.org/r2STAT2	gnomad.org/r3STAT2	rcsb.org/STAT2	genenames.org/STAT2	hpo/ORPHA/STAT2	hpo.jax.org/STAT2	amigo.org/STAT2	alphafold/STAT2	gemma/STAT2	clinicalgenome.org/STAT2
TLR7 deficiency	TLR7	XL	NA	NA	NA	NA	NA	NA	NA	COVID-19 susceptibility	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	279.9	D89.9	HP:0002715	HP:0031691	uniprot.org/TLR7	ensembl.org/TLR7	omim.org/TLR7	GWAS/TLR7	omni/TLR7	gnomad.org/r2TLR7	gnomad.org/r3TLR7	rcsb.org/TLR7	genenames.org/TLR7	hpo/ORPHA/TLR7	hpo.jax.org/TLR7	amigo.org/TLR7	alphafold/TLR7	gemma/TLR7	clinicalgenome.org/TLR7
ZNFX1 deficiency	ZNFX1	AR	NA	NA	Normal lymphocyte numbers, intact T cell function	Low	Normal	NA	NA	severe infections by RNA/DNA viruses, early-onset, systemic, severe, acute inflammation with major dysfunctions of liver, brain, kidneys, lungs. Virally triggered inflammatory episodes HLH, intermittent monocytosis, thrombocytopenia, hepatosplenomegaly, lymphadenopathy. Mycobacterial disease (BCGosis, disseminated TB.  High mortality. Increased ISG in response to poly I/C	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	NA	NA	NA	NA	uniprot.org/ZNFX1	ensembl.org/ZNFX1	omim.org/ZNFX1	GWAS/ZNFX1	omni/ZNFX1	gnomad.org/r2ZNFX1	gnomad.org/r3ZNFX1	rcsb.org/ZNFX1	genenames.org/ZNFX1	hpo/ORPHA/ZNFX1	hpo.jax.org/ZNFX1	amigo.org/ZNFX1	alphafold/ZNFX1	gemma/ZNFX1	clinicalgenome.org/ZNFX1
